"Cycle","Sample_ID","Condition","Discharge_Capacity.Ah."
50,94,12,3.244034
50,95,12,3.256889
50,96,12,3.240242
50,97,13,3.237729
50,98,13,3.235691
50,99,13,3.242566
50,100,13,3.236412
50,101,13,3.210879
50,102,13,3.231098
50,103,13,3.227781
50,104,13,3.233124
50,105,14,3.24288
50,106,14,3.243375
50,107,14,3.240707
50,108,14,3.244721
50,109,14,3.238537
50,110,14,3.238605
50,111,14,3.239753
50,112,14,3.232175
50,113,15,3.254015
50,114,15,3.24202
50,115,15,3.235516
50,116,15,3.247632
50,117,15,3.250318
50,118,15,3.242618
50,119,15,3.237014
50,120,15,3.231037
50,121,16,3.213938
50,122,16,3.227955
50,123,16,3.236716
50,124,16,3.212476
50,125,16,3.229392
50,126,16,3.225666
50,127,16,3.22742
50,128,16,3.232237
50,129,17,3.234537
50,130,17,3.246075
50,131,17,3.24987
50,132,17,3.237507
50,133,17,3.231908
50,134,17,3.231914
50,135,17,3.231333
50,136,17,3.234208
50,137,18,3.228173
50,138,18,3.215451
50,139,18,3.236045
50,140,18,3.239393
50,141,18,3.23606
50,142,18,3.210793
50,143,18,3.229132
50,144,18,3.219268
50,145,19,3.181825
50,146,19,3.180328
50,147,19,3.167845
50,148,19,3.176669
50,149,19,3.174784
50,150,19,3.180517
50,151,19,3.177588
50,152,19,3.160002
50,153,20,3.180738
50,154,20,3.152685
50,155,20,3.153405
50,156,20,3.161536
50,157,20,3.177476
50,158,20,3.18766
50,159,20,3.181258
50,160,20,3.167009
50,181,21,3.159424
50,182,21,3.159156
50,183,21,3.164779
50,184,21,3.171786
50,185,21,3.155065
50,186,21,3.156138
50,187,21,3.153625
50,188,21,3.169295
50,169,22,3.195669
50,170,22,3.169375
50,171,22,3.178639
50,172,22,3.167447
50,173,22,3.174514
50,174,22,3.176571
50,175,22,3.178614
50,176,22,3.178861
50,177,23,3.188172
50,178,23,3.188056
50,179,23,3.177045
50,185,24,3.131776
50,186,24,3.145506
50,187,24,3.135227
100,1,1,3.242364
